company_name,company_img,company_ALid,founder_name,founder_followers,founder_img,nfounder,founder_company_ALids,founder_score,ninvestor,investor_company_ALids,investor_score,nboard,board_company_ALids,board_score
Scripted,https://s3.amazonaws.com/photos.angel.co/startups/i/23346-e329076cc07e27d42d98840269c4730a-medium_jpg.jpg?buster=1338225447,23346,Sunil Rajaraman,328,https://s3.amazonaws.com/photos.angel.co/users/35787-medium_jpg?1307050913,1,[23346],9,0,[23346],0.0,0,[23346],0.0
ScriptPad,https://s3.amazonaws.com/photos.angel.co/startups/i/979-04b4925d175267705c14ddb04efc173a-medium_jpg.jpg?buster=1318013731,979,Michael DeLeonardis,16,https://angel.co/images/shared/nopic.png,1,[979],7,0,[979],0.0,0,[979],0.0
ScriptPad,https://s3.amazonaws.com/photos.angel.co/startups/i/979-04b4925d175267705c14ddb04efc173a-medium_jpg.jpg?buster=1318013731,979,Liam Davis-Mead,16,https://s3.amazonaws.com/photos.angel.co/users/2215-medium_jpg?1332375293,1,[979],7,0,[979],0.0,0,[979],0.0
ScriptPad,https://s3.amazonaws.com/photos.angel.co/startups/i/979-04b4925d175267705c14ddb04efc173a-medium_jpg.jpg?buster=1318013731,979,Shane Taylor,7,https://angel.co/images/shared/nopic.png,1,[979],7,0,[979],0.0,0,[979],0.0
SendHub,https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486,21042,Ash Rust,245,https://s3.amazonaws.com/photos.angel.co/users/41263-medium_jpg?1364335641,1,[21042],8,0,[21042],0.0,0,[21042],0.0
SendHub,https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486,21042,Garrett Johnson,102,https://s3.amazonaws.com/photos.angel.co/users/42582-medium_jpg?1310615750,1,[21042],8,0,[21042],0.0,0,[21042],0.0
SendHub,https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486,21042,John Fallone,58,https://s3.amazonaws.com/photos.angel.co/users/42573-medium_jpg?1329002969,1,[21042],8,0,[21042],0.0,0,[21042],0.0
SendHub,https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486,21042,Ryan Pfeffer,53,https://s3.amazonaws.com/photos.angel.co/users/118976-medium_jpg?1334790224,1,[21042],8,0,[21042],0.0,0,[21042],0.0
Shippable,https://s3.amazonaws.com/photos.angel.co/startups/i/162112-a54069e69c1c76a72e4335afd40be7a5-medium_jpg.jpg?buster=1384755263,162112,Avi Cavale,96,https://s3.amazonaws.com/photos.angel.co/users/218493-medium_jpg?1357165686,1,[162112],8,0,[162112],0.0,1,[162112],8
Shippable,https://s3.amazonaws.com/photos.angel.co/startups/i/162112-a54069e69c1c76a72e4335afd40be7a5-medium_jpg.jpg?buster=1384755263,162112,Manisha Sahasrabudhe,33,https://s3.amazonaws.com/photos.angel.co/users/233535-medium_jpg?1359517465,1,[162112],8,0,[162112],0.0,1,[162112],8
Sift,https://s3.amazonaws.com/photos.angel.co/startups/i/75722-d7f7618a9da5af4db1d45d6efca21bfb-medium_jpg.jpg?buster=1342116594,75722,Saurin Shah,130,https://s3.amazonaws.com/photos.angel.co/users/16779-medium_jpg?1334733493,2,"[75787, 75722]",11,0,"[75787, 75722]",0.0,0,"[75787, 75722]",0.0
Sift,https://s3.amazonaws.com/photos.angel.co/startups/i/75722-d7f7618a9da5af4db1d45d6efca21bfb-medium_jpg.jpg?buster=1342116594,75722,Ajay Subramanian,8,https://s3.amazonaws.com/photos.angel.co/users/25487-medium_jpg?1335747809,1,[75722],7,0,[75722],0.0,0,[75722],0.0
Simperium,https://s3.amazonaws.com/photos.angel.co/startups/i/34103-dbf52bbebf96cf6300fd3d8a32e87001-medium_jpg.jpg?buster=1326844190,34103,Michael Johnston,30,https://s3.amazonaws.com/photos.angel.co/users/128049-medium_jpg?1337026656,1,[34103],10,0,[34103],0.0,0,[34103],0.0
